Feature,Coefficient
eh,-0.06277529194029781
eight,-0.034180250796133516
either,0.07337355264006512
else,-0.22613364584887666
elsewhere,-0.021313827065332122
em,-0.0788600441878377
email,-0.7146212505294074
embarassed,-0.2730814185743469
empty,-0.13291157330974246
end,0.536754241924798
ended,-0.08118231288204908
ending,0.24261277752239788
enemy,-0.2298792583282223
energy,0.3719280825153174
eng,0.08827002838833407
england,0.38233134881209335
english,-0.01973875924465799
enjoy,0.949824628085636
enjoyed,0.05979783580982559
enough,0.0009799893411019953
enter,0.4741332980312634
entered,0.4011056680164977
entitled,0.1694084800672682
entry,0.7677885841591057
enuff,-0.00808699871506531
envelope,0.05803691717289557
er,-0.011072889987135324
erm,-0.0688974976528785
error,1.689985131860051
escape,-0.034160650704018476
ese,-0.05508963870313346
especially,-0.13880731351548697
esplanade,-0.050067140923290655
essential,-0.1011687998831288
etc,0.3926111235066815
euro,0.8634671321417896
eve,0.5066349470568008
even,-0.26150820765556493
evening,-0.4172467914396909
event,-0.08602047313962262
ever,-0.3177771001625069
every,0.026155423253574485
everybody,-0.05073373409367142
everyone,-0.10519710841226972
